52,JF019,JL. PB SUDIRMAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),10/10/2012,114.1872379,-8.43977716
53,JF346,DS.PURWODADI,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),12/1/2017,114.1660275,-8.454889386
54,JF182,DS.KRAJAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),8/31/2007,114.1831727,-8.450259884
55,JF190,DS.JAJAG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),9/20/2018,114.1865685,-8.440907814
56,JF406,DS.BOLO,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),11/25/2018,114.1677423,-8.45669359
57,JF407,DS.TANJUNGREJO,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.162156,-8.464353284
58,JF415,DS.KRAJAN,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),8/31/2007,114.1822875,-8.451249688
59,JF420,DS. WRINGINAGUNG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.1793403,-8.432652207
60,JF416,DS. BULUSARI,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),3/1/2004,114.1870852,-8.426432353
61,JF403,DS.JATISARI,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),,114.1911217,-8.422669956
62,JF428,DS. BANGOSERE,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),7/18/2007,114.1650569,-8.462291357
63,JF394,DS.SEMBULUNG,1-2,KONTRUKSI TRAFO 1 TIANG 2 JURUSAN (<160 kVA),12/6/2019,114.1935082,-8.444664863
64,JF048,DS. BANGOREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1788722,-8.467626331
65,JG134,DS. KARANGDORO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1029322,-8.448050042
66,JG326,DS. BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/1/2007,114.1005535,-8.450180608
67,JG133,DS. BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.0966014,-8.449725914
68,JG325,DS. SUMBERURIP BARUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/25/1997,114.0861188,-8.448873483
69,JG363,DS.PESANGGANRAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/22/2009,114.098352,-8.570260976
70,JG368,DS.BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/29/2009,114.1113575,-8.448096711
71,JG367,DS.BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/29/2009,114.1064805,-8.457798419
72,JG369,DS.KALIGESING,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/28/2009,114.1258485,-8.461789308
73,JG203,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/8/2012,114.0783651,-8.58808115
74,JF173,DS.  SEMBULUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/27/2007,114.2067216,-8.45210896
75,JF027,DS. PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.14646,-8.485278742
76,JF135,DS. BULUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/25/2008,114.1953048,-8.475441869
77,JF291,DS. BULUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1947089,-8.48320319
78,JF333,DS. SEMBULUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/13/2012,114.1962115,-8.444787987
79,JF065,DS. SEMBULUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/27/2005,114.2013787,-8.449164403
80,JF154,DS. SEMBULUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/23/2005,114.2060459,-8.457321497
81,JF258,DS. CURAH,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/20/2008,114.2189299,-8.462119516
